Date,Type,Route Name,Distance (mi),Duration,Average Pace,Average Speed (mph),Calories Burned,Climb (ft),Average Heart Rate (bpm),Notes,GPX File
2014-08-27 18:19:52,Running,,2.92,24:25,8:21,7.18,404.0,111.10,,,2014-08-27-1819.gpx
2014-08-25 18:48:52,Running,,2.26,18:33,8:12,7.32,316.0,95.73,,,2014-08-25-1848.gpx
2014-08-24 18:35:44,Running,,2.15,17:11,8:00,7.50,303.0,101.27,,,2014-08-24-1835.gpx
2014-08-22 17:58:02,Running,,2.27,19:14,8:28,7.09,318.0,100.41,,,2014-08-22-1758.gpx
2014-08-19 18:10:34,Running,,2.24,18:22,8:12,7.32,310.0,90.24,,,2014-08-19-1810.gpx
2014-08-18 17:59:01,Running,,2.90,23:25,8:05,7.43,403.0,118.82,,,2014-08-18-1759.gpx
2014-08-12 19:53:55,Running,,2.22,17:42,8:00,7.50,309.0,98.09,,,2014-08-12-1953.gpx
2014-08-10 18:24:52,Running,,2.24,17:57,8:02,7.48,315.0,102.71,,,2014-08-10-1824.gpx
2014-08-09 18:39:28,Running,,2.78,22:07,7:57,7.54,385.0,108.82,,,2014-08-09-1839.gpx
2014-08-08 18:48:18,Running,,2.26,18:31,8:12,7.32,315.0,97.82,,,2014-08-08-1848.gpx
2014-08-04 18:10:46,Running,,3.09,28:08,9:07,6.58,415.0,117.00,,,2014-08-04-1810.gpx
2014-08-02 18:51:14,Running,,2.10,17:11,8:10,7.34,295.0,97.71,,,2014-08-02-1851.gpx
2014-07-31 18:29:10,Running,,2.27,17:54,7:54,7.60,317.0,102.65,,,2014-07-31-1829.gpx
2014-07-30 17:47:19,Running,,2.99,24:13,8:07,7.40,412.0,118.68,,,2014-07-30-1747.gpx
2014-07-28 18:43:25,Running,,3.14,27:06,8:37,6.96,429.0,109.70,,,2014-07-28-1843.gpx
2014-07-26 20:03:50,Running,,2.08,16:28,7:56,7.56,295.0,102.06,,,2014-07-26-2003.gpx
